--  Reading input file  --: 

File                          : kroB100_p3_f70_lL
Type                          : CONTSP
Comment                       : Optimal value not allowing waiting: 55965
                                Optimal value allowing waiting    : 55965
Dimension                     : 100
Number of days                : 3
Distance                      : 21173
Maximum allowable differential: 1924
Edge Weigh Type               : EUC_2D
Reading coords                : 100
Reading demands               : 100
Depot                         : 1
EOF                           : 

